month,n_active_customers,n_new_customers,n_churned_customers,mrr,arr,new_mrr,expansion_mrr,churned_mrr,nrr,monthly_churn_rate,ltv_cac,cac_payback_months,mrr_growth_mom,avg_nps,mrr_yoy_growth_pct,rule_of_40,rag_churn,rag_ltv_cac,rag_cac_payback,rag_nrr,rag_rule_of_40,rag_mrr_growth,insights
2022-01-01,24,25,1,10187.19,122246.28,10649.39,0.0,462.2,,,,2.2,,40.3,,,N/A,N/A,Green,N/A,N/A,N/A,CAC payback 2 months — capital-efficient acquisition.
2022-02-01,51,29,2,16940.96,203291.52,6951.9,540.57,198.13,1.0336,0.0833,5.0,2.6,0.663,40.3,,,Red,Green,Green,Amber,N/A,Green,"MRR grew 66.3% MoM — strong top-line momentum. | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 5.0x — above the 3x benchmark; healthy unit economics. | CAC payback 3 months — capital-efficient acquisition."
2022-03-01,67,19,3,26916.67,323000.04,10441.05,858.45,465.34,1.0232,0.0588,7.56,2.0,0.5889,41.4,,,Red,Green,Green,Amber,N/A,Green,"MRR grew 58.9% MoM — strong top-line momentum. | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 7.6x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition."
2022-04-01,89,23,1,37374.82,448497.84,10569.75,1303.02,111.6,1.0443,0.0149,30.3,2.1,0.3885,41.2,,,Green,Green,Green,Amber,N/A,Green,"MRR grew 38.9% MoM — strong top-line momentum. | NRR 104% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 30.3x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition."
2022-05-01,113,29,5,50620.61,607447.32,14355.39,1787.01,1109.6,1.0181,0.0562,8.54,1.7,0.3544,42.5,,,Red,Green,Green,Amber,N/A,Green,"MRR grew 35.4% MoM — strong top-line momentum. | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 8.5x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition."
2022-06-01,138,31,6,58682.61,704191.32,11061.33,2317.99,2999.33,0.9865,0.0531,8.87,2.3,0.1593,42.8,,,Red,Green,Green,Red,N/A,Green,MRR grew 15.9% MoM — strong top-line momentum. | NRR 99% — churn is outpacing expansion; at-risk revenue base. | LTV:CAC 8.9x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition.
2022-07-01,153,21,6,67083.78,805005.36,9531.51,2928.19,1130.34,1.0306,0.0435,10.86,2.1,0.1432,42.3,,,Amber,Green,Green,Amber,N/A,Green,"MRR grew 14.3% MoM — strong top-line momentum. | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 10.9x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition."
2022-08-01,172,27,8,72478.02,869736.24,6873.59,3284.65,1479.35,1.0269,0.0523,8.99,2.3,0.0804,41.9,,,Red,Green,Green,Amber,N/A,Green,"MRR grew 8.0% MoM — strong top-line momentum. | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 9.0x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition."
2022-09-01,188,24,8,76225.54,914706.48,5149.95,3485.44,1402.43,1.0287,0.0465,9.89,2.9,0.0517,41.9,,,Amber,Green,Green,Amber,N/A,Green,"MRR grew 5.2% MoM — strong top-line momentum. | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 9.9x — above the 3x benchmark; healthy unit economics. | CAC payback 3 months — capital-efficient acquisition."
2022-10-01,219,42,11,90855.16,1090261.92,16740.68,3680.09,2111.06,1.0206,0.0585,7.79,2.3,0.1919,42.2,,,Red,Green,Green,Amber,N/A,Green,"MRR grew 19.2% MoM — strong top-line momentum. | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 7.8x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition."
2022-11-01,228,18,9,99332.24,1191986.88,9630.55,4366.94,1153.47,1.0354,0.0411,11.21,2.1,0.0933,42.5,,,Amber,Green,Green,Amber,N/A,Green,"MRR grew 9.3% MoM — strong top-line momentum. | NRR 104% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 11.2x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition."
2022-12-01,246,28,10,108878.57,1306542.84,12381.03,4762.48,2834.7,1.0194,0.0439,10.66,2.1,0.0961,42.5,,,Amber,Green,Green,Amber,N/A,Green,"MRR grew 9.6% MoM — strong top-line momentum. | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 10.7x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition."
2023-01-01,276,36,6,119631.82,1435581.84,12039.29,5397.83,1286.04,1.0378,0.0244,19.05,2.3,0.0988,41.9,1074.34,200.0,Green,Green,Green,Amber,Green,Green,"MRR grew 9.9% MoM — strong top-line momentum. | NRR 104% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 19.1x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 200 — passes benchmark; strong growth-efficiency balance."
2023-02-01,279,13,10,122102.83,1465233.96,5024.11,5772.77,2553.1,1.0269,0.0362,12.86,2.1,0.0207,41.8,620.76,200.0,Amber,Green,Green,Amber,Green,Amber,"MRR grew 2.1% MoM — stable but below high-growth benchmark (>5%). | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 12.9x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 200 — passes benchmark; strong growth-efficiency balance."
2023-03-01,296,32,15,133044.93,1596539.16,16241.66,5731.8,5299.56,1.0035,0.0538,8.58,2.2,0.0896,41.8,394.28,200.0,Red,Green,Green,Amber,Green,Green,"MRR grew 9.0% MoM — strong top-line momentum. | NRR 100% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 8.6x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 200 — passes benchmark; strong growth-efficiency balance."
2023-04-01,311,28,13,138986.6,1667839.2,11165.84,6337.2,5224.17,1.0084,0.0439,10.54,2.1,0.0447,41.7,271.87,200.0,Amber,Green,Green,Amber,Green,Amber,"MRR grew 4.5% MoM — stable but below high-growth benchmark (>5%). | NRR 101% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 10.5x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 200 — passes benchmark; strong growth-efficiency balance."
2023-05-01,325,27,13,141554.33,1698651.96,6492.1,6772.16,3924.37,1.0205,0.0418,10.96,2.6,0.0185,41.6,179.64,200.0,Amber,Green,Green,Amber,Green,Amber,"MRR grew 1.8% MoM — stable but below high-growth benchmark (>5%). | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 11.0x — above the 3x benchmark; healthy unit economics. | CAC payback 3 months — capital-efficient acquisition. | Rule of 40: 200 — passes benchmark; strong growth-efficiency balance."
2023-06-01,341,32,16,156229.84,1874758.08,19230.69,6863.52,4555.18,1.0163,0.0492,9.28,2.2,0.1037,41.7,166.23,200.0,Amber,Green,Green,Amber,Green,Green,"MRR grew 10.4% MoM — strong top-line momentum. | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 9.3x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 200 — passes benchmark; strong growth-efficiency balance."
2023-07-01,357,33,17,168553.25,2022639.0,15808.97,7562.22,3485.56,1.0261,0.0499,9.26,2.0,0.0789,42.0,151.26,200.0,Amber,Green,Green,Amber,Green,Green,"MRR grew 7.9% MoM — strong top-line momentum. | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 9.3x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 200 — passes benchmark; strong growth-efficiency balance."
2023-08-01,360,20,17,172266.84,2067202.08,7091.29,8010.21,3377.7,1.0275,0.0476,9.59,2.8,0.022,42.1,137.68,187.7,Amber,Green,Green,Amber,Green,Amber,"MRR grew 2.2% MoM — stable but below high-growth benchmark (>5%). | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 9.6x — above the 3x benchmark; healthy unit economics. | CAC payback 3 months — capital-efficient acquisition. | Rule of 40: 188 — passes benchmark; strong growth-efficiency balance."
2023-09-01,376,37,21,187853.97,2254247.64,18088.37,8267.63,2501.24,1.0335,0.0583,7.88,2.2,0.0905,42.4,146.44,196.4,Red,Green,Green,Amber,Green,Green,"MRR grew 9.0% MoM — strong top-line momentum. | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 7.9x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 196 — passes benchmark; strong growth-efficiency balance."
